order_nr,status,mp_code,is_assigned_user,has_customized_items,psku_code,sku,partner_sku,parent_sku,item_barcode,title,image_key,image_url,brand,size,images,purchase_item_nr,received_at,updated_at,target_shipped_at,price,currency_code,partner_barcodes,cancellation_reason,enable_extra_cancellation_reasons,shipment_created_at,item_status,shipment_nr
NSAI80062987159,shipped,noon,False,False,a63618fef1c1945d62089cbacb67d15a,Z38C1B9F9E929FD895EEFZ-1,31106030,Z38C1B9F9E929FD895EEFZ,,Slim N Lift Men’s Slimming Body Shaper Vest Black 2XL for Tummy and Waist Control,pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/a65b93b8-30d7-4dd2-ae13-46101f223d51.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/a65b93b8-30d7-4dd2-ae13-46101f223d51.jpg,slim_n_lift,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/a65b93b8-30d7-4dd2-ae13-46101f223d51.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146415/c789532e-8ee7-4732-bc80-c24b0bee411a.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/34bad372-ced4-468b-9c39-f3d6de066ae4.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/743a7da6-8655-4dc6-bb2f-a0ed01dee40b.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/99f940df-6a0f-4092-89db-37067c2fd8a4.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/b45d7c63-301f-498d-a5f3-7c0174eaf45d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z38C1B9F9E929FD895EEFZ/45/1764146414/f44fae4b-18af-44c0-a5d1-f59abdff3e5a.jpg']",NSAI80062987159-2-P1,2026-08-25 19:31:24+03:00,2026-08-26 11:07:02+03:00,2026-08-29 11:00:00+03:00,58.5,sar,null,,False,2026-08-26 09:44:50+03:00,shipped,PH21707873515S
NSAI80031742573,delivered,noon,False,False,a570bc9124f3e4b1e3abb0517318e72a,Z7653E15CC2286AC2EDBBZ-1,10103048,Z7653E15CC2286AC2EDBBZ,,Al-Hekma Beetroot Powder 100 g – Natural Antioxidant-Rich Superfood,pzsku/Z7653E15CC2286AC2EDBBZ/45/1764146378/3b1ef1b7-44c2-4223-bf37-c858e956d868.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z7653E15CC2286AC2EDBBZ/45/1764146378/3b1ef1b7-44c2-4223-bf37-c858e956d868.jpg,elhekma,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z7653E15CC2286AC2EDBBZ/45/1764146378/3b1ef1b7-44c2-4223-bf37-c858e956d868.jpg'],NSAI80031742573-1-P1,2026-08-24 22:40:55+03:00,2026-08-25 11:56:41+03:00,2026-08-27 12:00:00+03:00,37.38,sar,null,,False,2026-08-25 10:29:17+03:00,delivered,PH20142015514S
NSAI80043995796,shipped,noon,False,False,a38c24b75abea5450a914333a35488aa,Z5418BDAD8A54B61A2448Z-1,20316001,Z5418BDAD8A54B61A2448Z,6285725003916,Elhekma Hair Straightening Cream – 200 gm,pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,fayfa,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/2a5392a9-3cf8-495f-bec7-6aed7946dd82.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/ab3635a3-b7e2-432d-b9b5-a44ed522f71f.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/de69f904-1e05-486b-9563-17f1d56cf31d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/67c9e08d-1763-4654-a898-f719805c5c8d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437562/083ac9b2-5f0d-4280-a440-c3285a8e2e20.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437731/d66203fd-4cc1-4def-8622-05b0c93d7e96.jpg']",NSAI80043995796-2-P1,2026-08-24 21:08:32+03:00,2026-08-25 11:56:41+03:00,2026-08-27 11:00:00+03:00,138.0,sar,null,,False,2026-08-25 10:27:24+03:00,shipped,PH21954634172S
NSAI80047531297,shipped,noon,False,False,ae6c02e38def22a8f754277592e1727a,Z1925F40A8C27863B04F5Z-1,31307007,Z1925F40A8C27863B04F5Z,6902540752361,Derma Roller C.E. 4×1 Device,pzsku/Z1925F40A8C27863B04F5Z/45/1755761488/33680bd2-36f7-45b3-abaa-73b448712c65.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z1925F40A8C27863B04F5Z/45/1755761488/33680bd2-36f7-45b3-abaa-73b448712c65.jpg,derma,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z1925F40A8C27863B04F5Z/45/1755761488/33680bd2-36f7-45b3-abaa-73b448712c65.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z1925F40A8C27863B04F5Z/45/1755761531/332f1568-6a7a-4385-8bd0-f9c774b8f817.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z1925F40A8C27863B04F5Z/45/1755761547/16e42b6f-6c80-4189-87b4-294d9aab2f34.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z1925F40A8C27863B04F5Z/45/1755761580/6f48ebfd-19f8-48a3-a3a0-8b1dfd3d180a.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z1925F40A8C27863B04F5Z/45/1755761611/eb654345-736e-4e61-9587-481b89ec39f4.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z1925F40A8C27863B04F5Z/45/1755761642/57ee1b9f-2947-4095-8dac-582f54b1c397.jpg']",NSAI80047531297-1-P1,2026-08-24 20:22:37+03:00,2026-08-25 11:56:41+03:00,2026-08-27 11:00:00+03:00,38.03,sar,null,,False,2026-08-25 10:28:30+03:00,shipped,PH29679068982S
NSAI80051746063,delivered,noon,False,False,ab31c3059f3eb9b4761efd97254b204a,Z2FA0CA3A403288D01B9CZ-1,10104005,Z2FA0CA3A403288D01B9CZ,,Chios Greek Mastic 10g – Premium Natural Mastiha Resin,pzsku/Z2FA0CA3A403288D01B9CZ/45/1764146417/d82fdde0-0b16-4fa2-94bf-a4c9142bbaa6.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z2FA0CA3A403288D01B9CZ/45/1764146417/d82fdde0-0b16-4fa2-94bf-a4c9142bbaa6.jpg,chios_mastic,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z2FA0CA3A403288D01B9CZ/45/1764146417/d82fdde0-0b16-4fa2-94bf-a4c9142bbaa6.jpg'],NSAI80051746063-1-P1,2026-08-23 23:42:43+03:00,2026-08-24 11:06:01+03:00,2026-08-26 12:00:00+03:00,42.71,sar,null,,False,2026-08-24 09:52:28+03:00,delivered,PH25116573506S
NSAI80075516076,shipped,noon,False,False,a4ec7b04345251df46f25d6261c4a15a,ZCA0CA5D5F6E736507E0FZ-1,10101083,ZCA0CA5D5F6E736507E0FZ,,Elhekma Nettle Leaves 100g,pzsku/ZCA0CA5D5F6E736507E0FZ/45/_/1783240488/4f8d50e6-5fb0-42c3-9023-94b10f28fb1f.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZCA0CA5D5F6E736507E0FZ/45/_/1783240488/4f8d50e6-5fb0-42c3-9023-94b10f28fb1f.jpg,elhekma,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZCA0CA5D5F6E736507E0FZ/45/_/1783240488/4f8d50e6-5fb0-42c3-9023-94b10f28fb1f.jpg'],NSAI80075516076-4-P1,2026-08-23 23:38:26+03:00,2026-08-24 11:06:01+03:00,2026-08-26 11:00:00+03:00,28.41,sar,null,,False,2026-08-24 09:49:32+03:00,shipped,PH24494199893S
NSAI80028281075,shipped,noon,False,False,a38c24b75abea5450a914333a35488aa,Z5418BDAD8A54B61A2448Z-1,20316001,Z5418BDAD8A54B61A2448Z,6285725003916,Elhekma Hair Straightening Cream – 200 gm,pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,fayfa,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/2a5392a9-3cf8-495f-bec7-6aed7946dd82.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/ab3635a3-b7e2-432d-b9b5-a44ed522f71f.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/de69f904-1e05-486b-9563-17f1d56cf31d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/67c9e08d-1763-4654-a898-f719805c5c8d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437562/083ac9b2-5f0d-4280-a440-c3285a8e2e20.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437731/d66203fd-4cc1-4def-8622-05b0c93d7e96.jpg']",NSAI80028281075-1-P1,2026-08-23 21:18:45+03:00,2026-08-24 11:06:00+03:00,2026-08-26 11:00:00+03:00,138.0,sar,null,,False,2026-08-24 09:51:07+03:00,shipped,PH29415617721S
NSAI80015754376,delivered,noon,False,False,a4ec7b04345251df46f25d6261c4a15a,ZCA0CA5D5F6E736507E0FZ-1,10101083,ZCA0CA5D5F6E736507E0FZ,,Elhekma Nettle Leaves 100g,pzsku/ZCA0CA5D5F6E736507E0FZ/45/_/1783240488/4f8d50e6-5fb0-42c3-9023-94b10f28fb1f.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZCA0CA5D5F6E736507E0FZ/45/_/1783240488/4f8d50e6-5fb0-42c3-9023-94b10f28fb1f.jpg,elhekma,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZCA0CA5D5F6E736507E0FZ/45/_/1783240488/4f8d50e6-5fb0-42c3-9023-94b10f28fb1f.jpg'],NSAI80015754376-2-P1,2026-08-19 17:44:43+03:00,2026-08-20 11:31:24+03:00,2026-08-23 12:00:00+03:00,28.41,sar,null,,False,2026-08-20 09:43:48+03:00,delivered,PH27381477305S
NSAI80012909591,delivered,noon,False,False,a5244e1b4b8e7bbb3ee66daf502faf3a,Z91117ECBC5B26B6646D4Z-1,10102040,Z91117ECBC5B26B6646D4Z,,Elhekma Whole Arabic Gum Natural Traditional Food Ingredient 100g,8fcb8d8c40005bbbba9a7be319324250|pzsku/Z91117ECBC5B26B6646D4Z/45/1771164420/28aa8c0e-ca59-4490-9163-034dcb9bb405.jpg,https://z.nooncdn.com/products/tr:n-t_120/8fcb8d8c40005bbbba9a7be319324250|pzsku/Z91117ECBC5B26B6646D4Z/45/1771164420/28aa8c0e-ca59-4490-9163-034dcb9bb405.jpg,elhekma,,"['https://z.nooncdn.com/products/tr:n-t_800/8fcb8d8c40005bbbba9a7be319324250|pzsku/Z91117ECBC5B26B6646D4Z/45/1771164420/28aa8c0e-ca59-4490-9163-034dcb9bb405.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/8fcb8d8c40005bbbba9a7be319324250|pzsku/Z91117ECBC5B26B6646D4Z/45/1771164420/66801442-dd3c-44df-a42d-b52db717bb3c.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/8fcb8d8c40005bbbba9a7be319324250|pzsku/Z91117ECBC5B26B6646D4Z/45/1771164420/bdd4680a-e5b1-4622-8390-ec9993261e93.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/8fcb8d8c40005bbbba9a7be319324250|pzsku/Z91117ECBC5B26B6646D4Z/45/1771164420/efc46ad8-aeaf-46fb-b56c-006403e35df4.jpg']",NSAI80012909591-1-P1,2026-08-18 00:55:28+03:00,2026-08-18 11:19:31+03:00,2026-08-20 12:00:00+03:00,29.1,sar,null,,False,2026-08-18 09:26:37+03:00,delivered,PH20967752996S
NSAI80061501098,delivered,noon,False,False,aa965a0740d214c21e887da12394c59a,ZD58D7CC587E91B556408Z-1,10615003,ZD58D7CC587E91B556408Z,,"Balsaray Maca Honey 43g is a natural blend combining pure honey with nutrient-rich maca root extract, known for its energizing and revitalizing properties. This concentrated formula helps support stamina, boost vitality, and provide a natural nutritional lift while offering a smooth, rich honey flavor that can be taken directly or mixed with warm drinks.",pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg,generic,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg'],NSAI80061501098-1-P1,2026-08-18 02:36:59+03:00,2026-08-18 11:19:31+03:00,2026-08-20 12:00:00+03:00,114.96,sar,null,,False,2026-08-18 09:25:20+03:00,delivered,PH28337384116S
NSAI80032855761,delivered,noon,False,False,a570bc9124f3e4b1e3abb0517318e72a,Z7653E15CC2286AC2EDBBZ-1,10103048,Z7653E15CC2286AC2EDBBZ,,Al-Hekma Beetroot Powder 100 g – Natural Antioxidant-Rich Superfood,pzsku/Z7653E15CC2286AC2EDBBZ/45/1764146378/3b1ef1b7-44c2-4223-bf37-c858e956d868.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z7653E15CC2286AC2EDBBZ/45/1764146378/3b1ef1b7-44c2-4223-bf37-c858e956d868.jpg,elhekma,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z7653E15CC2286AC2EDBBZ/45/1764146378/3b1ef1b7-44c2-4223-bf37-c858e956d868.jpg'],NSAI80032855761-2-P1,2026-08-14 23:57:19+03:00,2026-08-15 11:10:35+03:00,2026-08-18 12:00:00+03:00,37.38,sar,null,,False,2026-08-15 09:04:19+03:00,delivered,PH21556210115S
NSAI80093854652,shipped,noon,False,False,ab18b5f85404798e86a423a75c2eecfa,ZAAECD40C12DDDBF75F80Z-1,20108008,ZAAECD40C12DDDBF75F80Z,6285074002974,Bepanthen Moisturizing Cream 30 ml,pzsku/ZAAECD40C12DDDBF75F80Z/45/1756126104/bebab778-f6e2-401b-b477-5a34bbdf4753.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZAAECD40C12DDDBF75F80Z/45/1756126104/bebab778-f6e2-401b-b477-5a34bbdf4753.jpg,bepanthen,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZAAECD40C12DDDBF75F80Z/45/1756126104/bebab778-f6e2-401b-b477-5a34bbdf4753.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZAAECD40C12DDDBF75F80Z/45/1756125890/e922e484-7b1f-4f7f-95f7-bf2188d5c3c5.jpg']",NSAI80093854652-2-P1,2026-08-14 17:25:23+03:00,2026-08-15 11:10:35+03:00,2026-08-20 11:00:00+03:00,55.8,sar,null,,False,2026-08-15 09:04:40+03:00,shipped,PH24068991332S
NSAI80020299389,delivered,noon,False,False,a38c24b75abea5450a914333a35488aa,Z5418BDAD8A54B61A2448Z-1,20316001,Z5418BDAD8A54B61A2448Z,6285725003916,Elhekma Hair Straightening Cream – 200 gm,pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,fayfa,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/2a5392a9-3cf8-495f-bec7-6aed7946dd82.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/ab3635a3-b7e2-432d-b9b5-a44ed522f71f.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/de69f904-1e05-486b-9563-17f1d56cf31d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/67c9e08d-1763-4654-a898-f719805c5c8d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437562/083ac9b2-5f0d-4280-a440-c3285a8e2e20.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437731/d66203fd-4cc1-4def-8622-05b0c93d7e96.jpg']",NSAI80020299389-2-P1,2026-08-11 15:53:00+03:00,2026-08-12 11:00:43+03:00,2026-08-15 11:00:00+03:00,138.0,sar,null,,False,2026-08-11 18:19:20+03:00,delivered,PH21091842960S
NSAI80020299389,delivered,noon,False,False,a38c24b75abea5450a914333a35488aa,Z5418BDAD8A54B61A2448Z-1,20316001,Z5418BDAD8A54B61A2448Z,6285725003916,Elhekma Hair Straightening Cream – 200 gm,pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg,fayfa,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/b63ac535-9597-4f02-b11f-bafa6ebf91d1.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/2a5392a9-3cf8-495f-bec7-6aed7946dd82.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235854/ab3635a3-b7e2-432d-b9b5-a44ed522f71f.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/de69f904-1e05-486b-9563-17f1d56cf31d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785235918/67c9e08d-1763-4654-a898-f719805c5c8d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437562/083ac9b2-5f0d-4280-a440-c3285a8e2e20.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z5418BDAD8A54B61A2448Z/45/_/1785437731/d66203fd-4cc1-4def-8622-05b0c93d7e96.jpg']",NSAI80020299389-3-P1,2026-08-11 15:53:00+03:00,2026-08-12 11:00:43+03:00,2026-08-15 11:00:00+03:00,138.0,sar,null,,False,2026-08-11 18:19:20+03:00,delivered,PH21091842960S
NSAI80052409238,delivered,noon,False,False,aa965a0740d214c21e887da12394c59a,ZD58D7CC587E91B556408Z-1,10615003,ZD58D7CC587E91B556408Z,,"Balsaray Maca Honey 43g is a natural blend combining pure honey with nutrient-rich maca root extract, known for its energizing and revitalizing properties. This concentrated formula helps support stamina, boost vitality, and provide a natural nutritional lift while offering a smooth, rich honey flavor that can be taken directly or mixed with warm drinks.",pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg,generic,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg'],NSAI80052409238-1-P1,2026-08-11 17:12:31+03:00,2026-08-12 11:00:43+03:00,2026-08-15 11:00:00+03:00,114.96,sar,null,,False,2026-08-11 18:18:53+03:00,delivered,PH26361825381S
NSAI80016545065,delivered,noon,False,False,aa965a0740d214c21e887da12394c59a,ZD58D7CC587E91B556408Z-1,10615003,ZD58D7CC587E91B556408Z,,"Balsaray Maca Honey 43g is a natural blend combining pure honey with nutrient-rich maca root extract, known for its energizing and revitalizing properties. This concentrated formula helps support stamina, boost vitality, and provide a natural nutritional lift while offering a smooth, rich honey flavor that can be taken directly or mixed with warm drinks.",pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg,generic,,['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZD58D7CC587E91B556408Z/45/1764146417/70ab1392-6cf4-46d0-8c6a-f8f1a974afcf.jpg'],NSAI80016545065-1-P1,2026-08-10 07:27:04+03:00,2026-08-10 11:05:17+03:00,2026-08-12 11:00:00+03:00,114.96,sar,null,,False,2026-08-10 09:27:13+03:00,delivered,PH22962207427S
NSAI80092177644,delivered,noon,False,False,a6e0147d04b65b9a91997e3733b7e81a,Z9CFC8CF38407AECBFC07Z-1,31106026,Z9CFC8CF38407AECBFC07Z,,Slim ’N Lift Men’s Slimming Body Shaper Vest White L – Tummy & Waist Control,pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/21316509-43c5-4dea-aa9a-ae39c8c53c87.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/21316509-43c5-4dea-aa9a-ae39c8c53c87.jpg,slim_n_lift,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/21316509-43c5-4dea-aa9a-ae39c8c53c87.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/1d622c06-c17b-4794-8fd0-3aa85c871029.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/b0bc2e43-d9b6-4eae-bc57-a8bf6afafdd9.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/99efab34-f4b5-4dde-a4cc-5e003007cd8b.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/32301bc1-5ea1-4c4a-9c1d-97a8984d387c.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z9CFC8CF38407AECBFC07Z/45/1764146415/ef680a1d-5ea5-4917-b0d1-73c7885d2a88.jpg']",NSAI80092177644-1-P1,2026-08-09 01:45:24+03:00,2026-08-09 11:54:32+03:00,2026-08-11 11:00:00+03:00,52.59,sar,null,,False,2026-08-09 09:48:28+03:00,delivered,PH27968384882S
NSAI80028627865,delivered,noon,False,False,a0e74e3b09e04fbe3139f832c434f45a,Z36738C4B5A0A7F8FAD2BZ-1,10503029,Z36738C4B5A0A7F8FAD2BZ,8997236230047,Parsa Drink with Ginseng 100 g – 5 Sachets,pzsku/Z36738C4B5A0A7F8FAD2BZ/45/_/1785227490/e793682c-d2b1-4552-ae1d-4b0aa2b26138.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/Z36738C4B5A0A7F8FAD2BZ/45/_/1785227490/e793682c-d2b1-4552-ae1d-4b0aa2b26138.jpg,parsa_coffee,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z36738C4B5A0A7F8FAD2BZ/45/_/1785227490/e793682c-d2b1-4552-ae1d-4b0aa2b26138.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z36738C4B5A0A7F8FAD2BZ/45/_/1785227490/7ed19309-3ca2-4564-a467-21f19200368d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z36738C4B5A0A7F8FAD2BZ/45/_/1785227490/cdcd8646-c65d-4cbb-830f-2c5671ad5a4c.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/Z36738C4B5A0A7F8FAD2BZ/45/_/1785227490/ffc84b16-64b0-4510-b83a-fb26f6488895.jpg']",NSAI80028627865-1-P1,2026-08-07 02:19:56+03:00,2026-08-08 12:37:24+03:00,2026-08-10 11:00:00+03:00,93.5,sar,null,,False,2026-08-07 16:06:48+03:00,delivered,PH26319574726S
NSAI80028914445,delivered,noon,False,False,a2c30dfcf452a2e874200e03ac3ca1aa,ZAA7A1D38C5281ED8A062Z-1,10501078,ZAA7A1D38C5281ED8A062Z,,TURKO BABA  Black mulberry Flavored Drink Powder 300g,pzsku/ZAA7A1D38C5281ED8A062Z/45/1754166637/aff68fcb-7a79-4149-9a62-5805df36ca2d.jpg,https://z.nooncdn.com/products/tr:n-t_120/pzsku/ZAA7A1D38C5281ED8A062Z/45/1754166637/aff68fcb-7a79-4149-9a62-5805df36ca2d.jpg,turko_baba,,"['https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZAA7A1D38C5281ED8A062Z/45/1754166637/aff68fcb-7a79-4149-9a62-5805df36ca2d.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZAA7A1D38C5281ED8A062Z/45/_/1776502397/e481fc9d-52f8-4c80-be2e-d2b077b11f3b.jpg', 'https://z.nooncdn.com/products/tr:n-t_800/pzsku/ZAA7A1D38C5281ED8A062Z/45/_/1776502397/ad4990bb-f6d2-495d-8ac2-01e031ffbe9e.jpg']",NSAI80028914445-1-P1,2026-08-07 01:35:02+03:00,2026-08-08 12:37:24+03:00,2026-08-10 11:00:00+03:00,54.16,sar,null,,False,2026-08-07 16:07:48+03:00,delivered,PH26732165989S
